3 16 2
41062.3 29260.8 27411.4  916.466 718.342 573.89  
6697.13 4781.63 4476.71  5592.9 4028.94 3751.18  
34376.9 24312.8 22906.9  6223.66 4648.87 4172.71  
6697.13 4781.63 4476.71  5639.24 4004.72 3759.42  
39818.4 28311.8 26578.3  2065.96 1588.8 1348.95  
34376.9 24312.8 22906.9  6189.36 4552.4 4141.49  
6697.13 4781.63 4476.71  5623.83 4022.37 3760.47  
34376.9 24312.8 22906.9  6241.65 4630.04 4166.17  
34376.9 24312.8 22906.9  6223.66 4648.87 4172.71  
6697.13 4781.63 4476.71  5593.72 4030.43 3746.21  
6697.13 4781.63 4476.71  5631.03 3997.73 3759.18  
6697.13 4781.63 4476.71  5631.03 3997.73 3759.18  
15936.8 11258.9 10608.6  9846.59 6983.68 6571.6  
39818.4 28311.8 26578.3  2060.29 1572.45 1342.97  
34376.9 24312.8 22906.9  6240.55 4595.08 4158.8  
15936.8 11258.9 10608.6  9877.63 7063.52 6575.46  
