3 16 3
41062.3 29260.8 27411.4  916.022 712.4 574.361  21.1019 26.1588 13.8828  
6697.13 4781.63 4476.71  5615.47 4015.26 3760.22  4696.1 3381.37 3151.33  
34376.9 24312.8 22906.9  6241.65 4630.04 4166.17  1121.66 846.171 753.702  
6697.13 4781.63 4476.71  5615.47 4015.26 3760.22  4742.9 3368.29 3154.45  
39818.4 28311.8 26578.3  2069.4 1580.64 1343.23  105.973 100.854 74.3379  
34376.9 24312.8 22906.9  6240.55 4595.08 4158.8  1127.01 884.406 764.064  
6697.13 4781.63 4476.71  5615.4 3985.2 3753.89  4742.24 3371.86 3159.49  
34376.9 24312.8 22906.9  6231.55 4587.15 4158.53  1136.01 879.785 758.632  
34376.9 24312.8 22906.9  6241.65 4630.04 4166.17  1121.66 846.171 753.702  
6697.13 4781.63 4476.71  5640.03 4006.15 3754.63  4718.27 3352.11 3154.72  
6697.13 4781.63 4476.71  5633.4 4002.04 3744.78  4726.42 3384.04 3161.82  
6697.13 4781.63 4476.71  5633.4 4002.04 3744.78  4726.42 3384.04 3161.82  
15936.8 11258.9 10608.6  9846.37 6935.32 6542.56  6135.53 4472.21 4119  
39818.4 28311.8 26578.3  2069.4 1580.64 1343.23  106.272 100.428 74.2112  
34376.9 24312.8 22906.9  6189.36 4552.4 4141.49  1170.54 927.563 779.616  
15936.8 11258.9 10608.6  9873.44 7055.93 6600.73  6142.8 4376.99 4078.2  
