3 50 4
26841.9 11989.1 35906.8  6832.83 2998.99 9032.3  1734.26 753.974 2280.76  437.789 193.166 580.65  
15741.4 7010.47 21001.2  8796.2 3907.1 11706  5031.82 2216.95 6696.2  2823.81 1254.24 3772.76  
35494.3 15809.8 47428.8  497.74 187.701 562.941  7.8172 2.44495 8.15012  0.110972 0.0431484 0.10056  
15817.9 6965.79 21030.7  8844.98 3921.5 11766  4969.23 2209.67 6638.3  2790.77 1260.12 3736.68  
10419.6 4580.48 13850.1  7389.88 3252.91 9827.67  5254.99 2326.29 6999.39  3735.75 1658.03 4974.08  
13560 6072.45 18144.5  8453.03 3771.09 11303.1  5268.78 2338.6 7023.81  3295.68 1446.35 4362.69  
13560 6072.45 18144.5  8501.36 3760.48 11326.3  5198.13 2339.43 6971.21  3243.34 1448.36 4325.7  
13560 6072.45 18144.5  8480.28 3747.76 11271.9  5180.1 2338.4 6955.11  3298.94 1454.38 4381.24  
15741.4 7010.47 21001.2  8836.24 3953.95 11835.5  4964.32 2212.19 6621.49  2816.75 1241.84 3744.43  
10419.6 4580.48 13850.1  7395.86 3301.13 9887.07  5257.54 2346.85 7024.56  3721.97 1648.33 4962.88  
10419.6 4580.48 13850.1  7406.95 3278.22 9866.52  5232.52 2325.12 6991.14  3744.28 1672.12 4990.56  
15817.9 6965.79 21030.7  8836.39 3945.25 11827.2  4982.23 2227.48 6645.51  2788.84 1242.08 3706.84  
15817.9 6965.79 21030.7  8829.15 3872.82 11708  4974.6 2223.18 6648.8  2800.91 1286.07 3779.84  
25238.6 11354.5 33879  7460.9 3284.37 9874.39  2309.81 961.062 2993.56  692.965 283.785 882.482  
15817.9 6965.79 21030.7  8859.79 3940.72 11809.2  4971.93 2229.46 6653.38  2780.4 1250.72 3730.58  
35494.3 15809.8 47428.8  497.795 187.797 564.236  7.77836 2.34882 6.86679  0.0968449 0.0431334 0.0898199  
14007 6207.32 18662.6  8547.5 3749.56 11332.4  5233.37 2344.54 7003.98  3185.13 1432.99 4262.71  
13560 6072.45 18144.5  8368.58 3765.94 11232.5  5318.06 2335.43 7061.71  3284.57 1452.26 4368.8  
10419.6 4580.48 13850.1  7350.26 3207.75 9740.31  5248.8 2345.24 7027.4  3757.15 1692.43 5027.96  
15817.9 6965.79 21030.7  8849.26 3902.62 11753.3  4965.82 2210.35 6629.11  2787.66 1275.7 3765.7  
15741.4 7010.47 21001.2  8858.04 3951.45 11841.2  4958.65 2200.77 6597.04  2825.83 1244.45 3760.4  
13560 6072.45 18144.5  8327.09 3756.53 11173.9  5333.74 2338.99 7083.94  3257.65 1450.02 4340.5  
34497.4 15172.5 45862.6  1440.22 786.295 2043.97  59.4798 38.9329 89.007  2.81644 2.11796 4.22074  
14007 6207.32 18662.6  8561.56 3767.7 11373.4  5205.57 2347.4 6983.44  3196.96 1408.12 4241.55  
35494.3 15809.8 47428.8  497.573 187.039 561.606  8.00718 3.08643 9.45934  0.0898405 0.062869 0.126359  
15741.4 7010.47 21001.2  8886.77 3942.82 11859.8  4977.62 2213.76 6633.55  2797.91 1238.33 3718.17  
34497.4 15172.5 45862.6  1435.29 788.381 2044.71  64.4618 37.4152 88.8451  2.76724 1.60457 3.69115  
10419.6 4580.48 13850.1  7401.33 3283.06 9855.67  5261.48 2347.29 7027.31  3727.65 1666.27 4990.83  
15741.4 7010.47 21001.2  8886.77 3942.82 11859.8  4977.62 2213.76 6633.55  2797.91 1238.33 3718.17  
35588 15728.7 47383.6  406.881 266.184 607.157  5.06374 4.98495 9.08116  0.0648388 0.0939427 0.138751  
15817.9 6965.79 21030.7  8844.98 3921.5 11766  4969.23 2209.67 6638.3  2795.44 1266.29 3750.41  
35494.3 15809.8 47428.8  494.101 188.072 562.215  11.2677 2.09474 8.80974  0.294509 0.02278 0.165413  
14007 6207.32 18662.6  8532.85 3807.46 11394.3  5222.23 2327.09 6968.83  3195.08 1417.32 4252.29  
15741.4 7010.47 21001.2  8836.24 3953.95 11835.5  4964.32 2212.19 6621.49  2816.75 1241.84 3744.43  
35588 15728.7 47383.6  406.19 264.875 604.914  5.74867 6.29179 11.3172  0.0709853 0.0976315 0.146179  
10419.6 4580.48 13850.1  7395.86 3301.13 9887.07  5257.54 2346.85 7024.56  3721.97 1648.33 4962.88  
35588 15728.7 47383.6  406.19 264.875 604.914  5.75115 6.23836 11.2796  0.0687962 0.147858 0.182579  
15817.9 6965.79 21030.7  8837.11 3912.3 11786  4978.97 2235.36 6661.57  2787.21 1260.55 3737.08  
