3 50 5
10988.1 31562 26193.3  3454.9 9902.22 8133.63  1071.12 3089.63 2530.07  334.774 985.283 786.575  103.206 312.438 244.974  
14380.6 41103.2 34003.2  1444.18 4384.77 3547.33  156.638 456.176 398.758  16.6065 49.2601 45.0706  1.7311 5.84814 5.06833  
474.05 1374.84 1122.94  457.92 1329.62 1082.93  448.294 1297.2 1065.46  434.229 1258.01 1034.75  414.366 1211.54 983.138  
4585.29 13303.1 10947.1  3282.82 9469.98 7784.2  2346.74 6718.76 5574.63  1664.51 4767.32 3960.22  1183.08 3399.58 2803.49  
10873.4 30948.5 25733.2  3483.76 10161.9 8309.34  1111.98 3252.5 2673.85  359.048 1085.05 862.345  116.621 371.77 284.332  
6030.05 17445 14301.3  3777.37 10813.9 8954.99  2346.21 6718.61 5571.17  1455.75 4163.62 3453.32  900.187 2593.25 2143.23  
6030.05 17445 14301.3  3724.64 10776.8 8815.06  2351.68 6721.81 5577.54  1454.59 4172.65 3461.45  918.415 2602.64 2190.2  
6030.05 17445 14301.3  3757.16 10837 8935.32  2351.38 6692.85 5558.19  1454.01 4168.52 3449.58  906.501 2592.41 2156.86  
14380.6 41103.2 34003.2  1448.06 4363.17 3545.82  153.946 474.231 404.841  15.5383 52.3903 41.004  1.62192 6.2852 4.64491  
10873.4 30948.5 25733.2  3467.51 9976.68 8241.24  1122.97 3375.61 2719.8  364.307 1147.17 884.495  116.742 372.709 285.359  
10873.4 30948.5 25733.2  3477.2 10170.8 8335.88  1116.6 3252.98 2637.88  361.373 1099.9 878.69  116.216 354.339 281.282  
4585.29 13303.1 10947.1  3277.32 9467.46 7791.73  2310.63 6702.74 5504.95  1662.56 4778.2 3929.34  1186.62 3385.48 2824.01  
4585.29 13303.1 10947.1  3294.12 9458.11 7826.7  2305.86 6705.44 5494.98  1680.78 4783.8 3968.81  1173.83 3390.27 2790.12  
3836.49 10944.6 9071.26  2911.8 8360.59 6938.28  2217.3 6326.66 5263.9  1677.45 4840.16 3957.26  1284.82 3700.14 3052.85  
4585.29 13303.1 10947.1  3284.28 9442.41 7823.53  2319.89 6723.35 5492.77  1642.38 4754.84 3918.75  1196.72 3409.85 2827.67  
474.05 1374.84 1122.94  457.92 1329.62 1082.93  448.427 1295.71 1062.96  430.101 1246.28 1014.54  424.426 1218.44 1005.83  
1116.74 3179.09 2655.46  1037.32 2929.1 2452.95  963.263 2731.05 2289.76  890.033 2532.49 2125.99  837.345 2408.78 1991.98  
6030.05 17445 14301.3  3750.88 10834.1 8943.97  2355.56 6718.62 5588.17  1454.81 4159.9 3435.11  911.63 2584.62 2157.79  
10873.4 30948.5 25733.2  3481.2 10106.9 8319.56  1112.9 3277.35 2651.85  360.476 1111.15 869.252  116.834 372.991 288.369  
4585.29 13303.1 10947.1  3233.75 9379.23 7749.82  2322.99 6728.16 5516.92  1685.45 4790.78 3986.83  1199.98 3417.27 2819.61  
14380.6 41103.2 34003.2  1454.93 4364.3 3570.36  147.813 472.644 381.956  14.851 53.3316 39.496  1.57478 5.84603 4.48202  
6030.05 17445 14301.3  3776.28 10826.2 8975.61  2342.11 6719.87 5581.47  1458.83 4173.85 3462.27  905.587 2581.87 2138.18  
9683.31 28025.1 23010.4  3841.77 10927.4 9092.35  1495.99 4277.45 3547.55  595.201 1685.93 1428.55  230.371 658.564 552.118  
1116.74 3179.09 2655.46  1037.32 2929.1 2452.95  959.528 2744.16 2293.7  897.9 2543.82 2128.17  837.056 2407.08 1991.55  
474.05 1374.84 1122.94  457.504 1334.33 1090.79  444.919 1293.26 1054.93  437.409 1255.64 1036.1  418.867 1217.11 993.291  
14380.6 41103.2 34003.2  1456.03 4380.43 3591.38  146.782 458.867 363.952  14.8173 50.7212 36.8624  1.54597 6.03089 4.16076  
9683.31 28025.1 23010.4  3791.16 10931.4 9006.27  1535.55 4286.8 3637.68  596.03 1676.18 1420.45  236.506 656.357 554.541  
10873.4 30948.5 25733.2  3482.16 10095.6 8301.11  1113.73 3349.9 2671.73  360.633 1084.24 876.503  115.174 349.984 280.37  
14380.6 41103.2 34003.2  1456.03 4380.43 3591.38  146.782 458.867 363.952  14.8173 50.7212 36.8624  1.54597 6.03089 4.16076  
13065.1 37553.3 31123.7  2392.56 6826.55 5626.79  444.444 1319 1020.67  79.2498 246.122 186.298  15.1106 44.9581 34.6362  
4585.29 13303.1 10947.1  3267.31 9451.5 7788.51  2324.72 6720.72 5502.76  1658.54 4776.32 3934.78  1191.9 3396.02 2829.08  
474.05 1374.84 1122.94  457.504 1334.33 1090.79  444.427 1289.86 1050.89  426.689 1245.68 1009.54  421.683 1220.77 1004.87  
1116.74 3179.09 2655.46  1040.84 2979.45 2470.18  956.34 2715.19 2283.87  897.093 2578.33 2139.06  837.089 2403.2 1990.28  
14380.6 41103.2 34003.2  1448.06 4363.17 3545.82  153.946 474.231 404.841  15.5383 52.3903 41.004  1.62192 6.2852 4.64491  
13065.1 37553.3 31123.7  2404.33 6884.52 5629.6  433.965 1272.88 1021.62  78.4387 236.851 183.311  14.7621 42.9351 34.0235  
10873.4 30948.5 25733.2  3467.51 9976.68 8241.24  1122.97 3375.61 2719.8  364.307 1147.17 884.495  116.742 372.709 285.359  
13065.1 37553.3 31123.7  2375.33 6903.79 5597.67  453.24 1255.9 1043.69  86.1325 233.59 191.774  16.4448 43.6009 35.3046  
4585.29 13303.1 10947.1  3277.32 9467.46 7791.73  2329.21 6714.79 5545.25  1671.13 4769.18 3966.53  1171.98 3369.18 2792.85  
3836.49 10944.6 9071.26  2906.26 8246.54 6851.68  2219.25 6346.62 5272.91  1685.51 4832.12 3999.37  1283.75 3724.45 3061.33  
474.05 1374.84 1122.94  453.006 1323.51 1071.79  447.691 1297.05 1066.82  430.962 1255.97 1027.53  422.299 1220.9 1003.45  
6030.05 17445 14301.3  3721.25 10815 8879.08  2362.91 6724.12 5618.04  1471.79 4176.5 3484.97  909.969 2592.61 2150.28  
4585.29 13303.1 10947.1  3282.82 9469.98 7784.2  2346.74 6718.76 5574.63  1664.51 4767.32 3960.22  1183.08 3399.58 2803.49  
4585.29 13303.1 10947.1  3267.31 9451.5 7788.51  2324.72 6720.72 5502.76  1658.54 4776.32 3934.78  1191.9 3396.02 2829.08  
9683.31 28025.1 23010.4  3837.71 10899.6 9059.11  1499.62 4310.41 3589.38  594.486 1682.33 1424.69  234.076 658.113 555.897  
474.05 1374.84 1122.94  457.92 1329.62 1082.93  448.427 1295.71 1062.96  430.101 1246.28 1014.54  424.426 1218.44 1005.83  
10873.4 30948.5 25733.2  3477.2 10170.8 8335.88  1117.09 3299.16 2648.31  360.89 1061.72 870.691  116.397 349.06 279.374  
9683.31 28025.1 23010.4  3791.16 10931.4 9006.27  1535.55 4286.8 3637.68  596.03 1676.18 1420.45  236.506 656.357 554.541  
9683.31 28025.1 23010.4  3834.36 10937 9121.92  1490.28 4275.11 3517  600.29 1681.23 1419.37  236.796 656.477 560.243  
13065.1 37553.3 31123.7  2404.33 6884.52 5629.6  430.844 1266.93 1019.46  81.5456 238.973 186.029  14.8352 45.4651 33.7306  
1116.74 3179.09 2655.46  1037.32 2929.1 2452.95  959.528 2744.16 2293.7  897.9 2543.82 2128.17  837.056 2407.08 1991.55  
