3 16 5
41062.3 29260.8 27411.4  917.506 719.095 575.405  19.7274 19.5524 12.8931  0.424804 0.537332 0.289861  0.00916135 0.0149113 0.00654003  
6697.13 4781.63 4476.71  5615.4 3985.2 3753.89  4708.85 3369.99 3155.63  3974.95 2847.28 2645.38  3350.2 2380.38 2232.24  
34376.9 24312.8 22906.9  6223.24 4548.97 4134.64  1141.13 921.747 783.82  210.937 174.017 142.353  38.9998 34.6186 26.4164  
6697.13 4781.63 4476.71  5640.03 4006.15 3754.63  4731.41 3362.65 3159.16  3949.79 2851.68 2648.66  3338.89 2390.56 2222.96  
39818.4 28311.8 26578.3  2066 1577.35 1344.83  109.175 104.732 72.9471  6.09272 5.74066 3.69701  0.336339 0.30683 0.202364  
34376.9 24312.8 22906.9  6241.65 4630.04 4166.17  1123.17 841.467 751.369  211.506 174.28 143.129  38.0122 33.1115 26.3302  
6697.13 4781.63 4476.71  5623.83 4022.37 3760.47  4720.91 3374.82 3159.11  3982.66 2828.14 2643.22  3336.47 2387.18 2231.6  
34376.9 24312.8 22906.9  6224.16 4550.56 4129.51  1135.84 909.765 783.483  215.41 183.245 147.019  38.9743 35.6241 27.0701  
34376.9 24312.8 22906.9  6223.24 4548.97 4134.64  1141.13 921.747 783.82  210.937 174.017 142.353  38.9998 34.6186 26.4164  
6697.13 4781.63 4476.71  5639.24 4004.72 3759.42  4733.53 3366.5 3146.3  3978.18 2832.25 2645.43  3346.77 2367.26 2226.22  
6697.13 4781.63 4476.71  5584.39 4021.71 3750.92  4701.01 3380.34 3152.82  3985.9 2842.77 2653.38  3332.42 2393.09 2224.18  
6697.13 4781.63 4476.71  5584.39 4021.71 3750.92  4701.01 3380.34 3152.82  3985.9 2842.77 2653.38  3332.42 2393.09 2224.18  
15936.8 11258.9 10608.6  9846.02 7033.81 6591.44  6135.64 4434.91 4100.44  3814.05 2695.81 2520.48  2374.27 1723.04 1586.1  
39818.4 28311.8 26578.3  2069.4 1580.64 1343.23  106.039 101.725 74.1785  5.84992 5.47531 4.0592  0.317183 0.285541 0.210945  
34376.9 24312.8 22906.9  6241.65 4630.04 4166.17  1121.66 846.171 753.702  212.708 171.664 141.841  38.4722 31.4155 25.4391  
15936.8 11258.9 10608.6  9889.03 7019.99 6572.88  6119.4 4440.14 4107.48  3810.64 2724.48 2529.8  2362.43 1726.07 1587.49  
