    average_case    best_case   worst_case          0.1          0.2          0.3          0.4          0.5          0.8          0.9        0.999
0       0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
1       0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
2     148.269033   296.952619   148.269033   169.127658   169.127658   148.269033   148.269033   148.269033   148.269033   286.247747   286.247747
3     148.269033   296.952619   148.269033   169.127658   169.127658   148.269033   148.269033   148.269033   148.269033   286.247747   286.247747
4    2883.244602  3068.952619  2883.244602  2912.329968  2912.329968  2883.244602  2883.244602  2883.244602  2883.244602  3058.247747  3058.247747
5    3324.244602  3509.952619  3324.244602  3353.329968  3353.329968  3324.244602  3324.244602  3324.244602  3324.244602  3499.247747  3499.247747
6    5310.244602  5495.952619  5310.244602  5339.329968  5339.329968  5310.244602  5310.244602  5310.244602  5310.244602  5485.247747  5485.247747
7    6202.244602  6387.952619  6202.244602  6231.329968  6231.329968  6202.244602  6202.244602  6202.244602  6202.244602  6377.247747  6377.247747
8    4687.244602  4872.952619  4687.244602  4716.329968  4716.329968  4687.244602  4687.244602  4687.244602  4687.244602  4862.247747  4862.247747
9    3069.244602  3254.952619  3069.244602  3098.329968  3098.329968  3069.244602  3069.244602  3069.244602  3069.244602  3244.247747  3244.247747
10   6151.244602  6336.952619  6151.244602  6180.329968  6180.329968  6151.244602  6151.244602  6151.244602  6151.244602  6326.247747  6326.247747
11   6782.244602  6967.952619  6782.244602  6811.329968  6811.329968  6782.244602  6782.244602  6782.244602  6782.244602  6957.247747  6957.247747
12   8299.244602  8484.952619  8299.244602  8328.329968  8328.329968  8299.244602  8299.244602  8299.244602  8299.244602  8474.247747  8474.247747
13   7796.272235  7918.952619  7796.272235  7810.654859  7810.654859  7796.272235  7796.272235  7796.272235  7796.272235  7908.247747  7908.247747
14   1996.244602  2181.952619  1996.244602  2025.329968  2025.329968  1996.244602  1996.244602  1996.244602  1996.244602  2171.247747  2171.247747
15   1667.244602  1852.952619  1667.244602  1696.329968  1696.329968  1667.244602  1667.244602  1667.244602  1667.244602  1842.247747  1842.247747
16   7768.244602  7953.952619  7768.244602  7797.329968  7797.329968  7768.244602  7768.244602  7768.244602  7768.244602  7943.247747  7943.247747
17   7311.244602  7496.952619  7311.244602  7340.329968  7340.329968  7311.244602  7311.244602  7311.244602  7311.244602  7486.247747  7486.247747
18   3183.244602  3368.952619  3183.244602  3212.329968  3212.329968  3183.244602  3183.244602  3183.244602  3183.244602  3358.247747  3358.247747
19   3851.244602  4036.952619  3851.244602  3880.329968  3880.329968  3851.244602  3851.244602  3851.244602  3851.244602  4026.247747  4026.247747
